iter	Logloss
0	0.6848588562
1	0.6764042664
2	0.6657556152
3	0.6568932343
4	0.6506600952
5	0.6433491516
6	0.6360883331
7	0.6289551544
8	0.6223683548
9	0.6148071671
10	0.6082867432
11	0.6022773743
12	0.5924277496
13	0.5842205048
14	0.5782293701
15	0.5707262421
16	0.5658234406
17	0.5599184418
18	0.5540458298
19	0.5481522751
20	0.5420206451
21	0.5361326599
22	0.5308309937
23	0.525158844
24	0.5196434784
25	0.5147946167
26	0.5100917053
27	0.5050191498
28	0.5000686264
29	0.4955570984
30	0.4911144257
31	0.4869028473
32	0.4810693741
33	0.4774602509
34	0.4735935974
35	0.4698322296
36	0.4656087494
37	0.4619961929
38	0.4588513184
39	0.4535700989
40	0.4482965088
41	0.4426287079
42	0.4393536758
43	0.4358041
44	0.4321636963
45	0.4283364868
46	0.4255269241
47	0.4225278091
48	0.4188211823
49	0.4154308319
50	0.4131053925
51	0.4105303192
52	0.4079915619
53	0.4052109528
54	0.4025260925
55	0.3993041992
56	0.3944303131
57	0.3917919159
58	0.3892889786
59	0.3864180374
60	0.3845220184
61	0.382250061
62	0.3799575806
63	0.3759946442
64	0.3739496613
65	0.3714256287
66	0.3689539719
67	0.3657175446
68	0.3632682037
69	0.3598597336
70	0.358126564
71	0.3559338379
72	0.3526194382
73	0.3506562805
74	0.3485300827
75	0.3461672974
76	0.3446189499
77	0.3427986526
78	0.3411838531
79	0.3398426056
80	0.3373760986
81	0.3351980591
82	0.3330253601
83	0.3316375732
84	0.3295727921
85	0.3283946991
86	0.3262794495
87	0.324207077
88	0.322629509
89	0.3210237122
90	0.3191790199
91	0.3175905609
92	0.3161555672
93	0.3149323845
94	0.3131485558
95	0.3118063354
96	0.3103267288
97	0.30827631
98	0.3070312119
99	0.3054776955
100	0.3043453217
101	0.3034182549
102	0.3021469307
103	0.3010913467
104	0.2985053635
105	0.2971661377
106	0.2960892868
107	0.2948999023
108	0.2938349533
109	0.2917157745
110	0.2907448578
111	0.2888530922
112	0.2879718781
113	0.2858039474
114	0.2848268509
115	0.2838490295
116	0.2828029442
117	0.2819710922
118	0.2809385681
119	0.2801825905
120	0.2783280182
121	0.2772451782
122	0.2754807854
123	0.2745894241
124	0.2738546753
125	0.2731266022
126	0.2717791748
127	0.2710018921
128	0.2700892448
129	0.2693197632
130	0.2683513641
131	0.2673319244
132	0.2659705353
133	0.2653008842
134	0.2644235992
135	0.2635903358
136	0.2623052025
137	0.261179657
138	0.2604769325
139	0.2597251701
140	0.2591944313
141	0.2579014397
142	0.2571303558
143	0.2564210129
144	0.2552261925
145	0.2542829514
146	0.2536818695
147	0.2529265594
148	0.252055645
149	0.2512670135
150	0.250255127
151	0.2490427399
152	0.2481294632
153	0.2472364044
154	0.2463052177
155	0.2455134583
156	0.2448454857
157	0.2436362839
158	0.24210186
159	0.2412628174
160	0.240550499
161	0.2393886948
162	0.2389508438
163	0.2381772232
164	0.2376848221
165	0.2370501709
166	0.2361797333
167	0.2357809448
168	0.2350143051
169	0.2337679291
170	0.2330920792
171	0.2325291824
172	0.2318523788
173	0.231385479
174	0.2306742096
175	0.2301957703
176	0.2295009232
177	0.2289068413
178	0.2282294273
179	0.227697773
180	0.2270624924
181	0.2265125656
182	0.2259773254
183	0.2255329514
184	0.2251185608
185	0.2245947266
186	0.2241514397
187	0.2237215614
188	0.2232977295
189	0.2226016235
190	0.2221591568
191	0.2215856552
192	0.220552063
193	0.2202043915
194	0.2196294785
195	0.2190353012
196	0.2184750175
197	0.2179197121
198	0.2175359344
199	0.216893692
200	0.2163021278
201	0.2157557487
202	0.2152777672
203	0.2148741913
204	0.2143865204
205	0.2139712906
206	0.2131237602
207	0.2127350426
208	0.2124609375
209	0.2119220543
210	0.2117020988
211	0.2112216568
212	0.2109901047
213	0.2104104996
214	0.2099296188
215	0.2095309448
216	0.2091402245
217	0.2087772942
218	0.2084808731
219	0.2081506157
220	0.2077944946
221	0.2075393295
222	0.2071559525
223	0.2069438171
224	0.2059590912
225	0.2052783966
226	0.2047484016
227	0.2043312645
228	0.2034833145
229	0.2029987144
230	0.2025748825
231	0.2020990562
232	0.2018341255
233	0.2009218597
234	0.2004598236
235	0.2001081085
236	0.1997753143
237	0.1994290161
238	0.1988990402
239	0.1984383774
240	0.1975750732
241	0.1965269089
242	0.1961683464
243	0.1957417679
244	0.1952030182
245	0.1947915268
246	0.194332962
247	0.19396698
248	0.1933356667
249	0.1930571365
250	0.1926892281
251	0.1917185593
252	0.1913871384
253	0.1909820557
254	0.190735817
255	0.190241909
256	0.189993763
257	0.1895538521
258	0.1891159821
259	0.1888986588
260	0.1886170769
261	0.1881251144
262	0.1876180649
263	0.1872305298
264	0.1869265366
265	0.18654562
266	0.1862498093
267	0.1857452965
268	0.1854851151
269	0.1850382423
270	0.1848581505
271	0.1843803024
272	0.1841364288
273	0.1837335968
274	0.1832653427
275	0.1830338669
276	0.1824246597
277	0.1821202469
278	0.1819856644
279	0.1814962769
280	0.1812084579
281	0.1808897209
282	0.1806369781
283	0.1802629852
284	0.1799314117
285	0.1797068024
286	0.1794587326
287	0.1791810608
288	0.1787800217
289	0.1780569458
290	0.1776675797
291	0.1774517822
292	0.1770417786
293	0.176656189
294	0.1762677383
295	0.1759910202
296	0.1754749298
297	0.175052948
298	0.1748311234
299	0.1745983124
300	0.1743757248
301	0.1741563416
302	0.1738947487
303	0.1736471939
304	0.1734642029
305	0.1728741837
306	0.172567997
307	0.1723903465
308	0.1721609879
309	0.1718447685
310	0.1714472008
311	0.1705796051
312	0.1703319168
313	0.1700107193
314	0.1697395325
315	0.1694905472
316	0.1692453003
317	0.1690981674
318	0.1688272476
319	0.1685351181
320	0.1682501221
321	0.1680168724
322	0.1678142929
323	0.1676091385
324	0.1673023605
325	0.1665800476
326	0.1663979721
327	0.1661863708
328	0.165934124
329	0.1656146049
330	0.1650788116
331	0.1648802185
332	0.1646112442
333	0.164403801
334	0.1641666031
335	0.1638891792
336	0.1635561943
337	0.1632427979
338	0.1629816246
339	0.1627794647
340	0.162485714
341	0.1622448349
342	0.1620225525
343	0.1619316673
344	0.1615509415
345	0.1612472343
346	0.1610716438
347	0.160753479
348	0.1606007767
349	0.1602987671
350	0.1599133492
351	0.1597786331
352	0.1594112873
353	0.1588756371
354	0.1585969162
355	0.1581699085
356	0.1579651642
357	0.1577217674
358	0.1575279331
359	0.1572443295
360	0.1570942593
361	0.156689949
362	0.156502409
363	0.1563132095
364	0.1561154175
365	0.1556182003
366	0.155465889
367	0.15523736
368	0.1549970245
369	0.1546183968
370	0.1543854904
371	0.1541647053
372	0.1539781761
373	0.1536674118
374	0.1534641266
375	0.153218174
376	0.1527943707
377	0.1525800514
378	0.1522139645
379	0.1519643974
380	0.1513798714
381	0.1512257576
382	0.1510084343
383	0.1507601738
384	0.1504951286
385	0.1501545143
386	0.1499097443
387	0.1497964001
388	0.1494483376
389	0.1491454887
390	0.1487801838
391	0.1484055901
392	0.1478433418
393	0.1475853157
394	0.1470490837
395	0.1468223572
396	0.1466663647
397	0.1464261627
398	0.1460966873
399	0.1459009075
400	0.1456728745
401	0.1454636955
402	0.1452413845
403	0.1450214577
404	0.144832058
405	0.1446177387
406	0.1444295502
407	0.1442130375
408	0.1440166664
409	0.1438633537
410	0.1436528206
411	0.1434905815
412	0.1433165359
413	0.1430744553
414	0.1429169559
415	0.1427285957
416	0.1425971985
417	0.1424108696
418	0.1421599007
419	0.1419746494
