iter	Passed	Remaining
0	4	4242
1	9	4908
2	13	4397
3	16	4037
4	21	4366
5	26	4348
6	29	4177
7	32	4046
8	36	3987
9	39	3871
10	43	3895
11	48	3954
12	52	3995
13	56	3959
14	60	4004
15	64	3968
16	68	3937
17	71	3886
18	74	3832
19	77	3779
20	80	3755
21	84	3739
22	87	3732
23	90	3693
24	93	3663
25	97	3642
26	100	3609
27	102	3572
28	105	3544
29	109	3532
30	112	3509
31	116	3530
32	119	3506
33	124	3528
34	128	3537
35	132	3553
36	136	3540
37	139	3527
38	142	3523
39	145	3503
40	149	3494
41	154	3518
42	157	3513
43	161	3502
44	164	3496
45	168	3499
46	172	3489
47	174	3469
48	177	3453
49	180	3435
50	185	3443
51	191	3488
52	195	3487
53	198	3472
54	202	3480
55	205	3467
56	208	3456
57	212	3452
58	215	3439
59	219	3443
60	223	3435
61	227	3444
62	230	3432
63	234	3423
64	237	3417
65	240	3404
66	246	3428
67	249	3422
68	253	3423
69	256	3410
70	261	3416
71	264	3407
72	267	3401
73	271	3392
74	275	3392
75	278	3382
76	281	3375
77	285	3373
78	288	3360
79	293	3369
80	296	3365
81	299	3358
82	303	3349
83	307	3351
84	310	3344
85	313	3337
86	317	3329
87	319	3315
88	324	3316
89	326	3306
90	330	3304
91	334	3297
92	337	3289
93	341	3291
94	344	3283
95	347	3275
96	351	3268
97	355	3271
98	358	3264
99	361	3257
100	365	3251
101	368	3240
102	372	3243
103	375	3236
104	379	3231
105	383	3230
106	387	3230
107	390	3223
108	393	3215
109	396	3208
110	399	3201
111	403	3202
112	407	3198
113	411	3196
114	414	3190
115	417	3185
116	421	3184
117	425	3178
118	428	3171
119	431	3162
120	434	3158
121	438	3155
122	441	3149
123	445	3146
124	448	3139
125	453	3142
126	456	3139
127	459	3133
128	463	3131
129	468	3133
130	471	3129
131	474	3121
132	478	3119
133	481	3111
134	485	3108
135	488	3100
136	491	3093
137	494	3089
138	497	3083
139	501	3078
140	504	3070
141	506	3063
142	510	3059
143	513	3052
144	517	3048
145	520	3042
146	522	3034
147	525	3027
148	528	3020
149	532	3015
150	535	3009
151	538	3002
152	541	2999
153	544	2992
154	548	2988
155	550	2980
156	553	2973
157	557	2969
158	560	2962
159	563	2956
160	566	2951
161	569	2944
162	572	2940
163	575	2933
164	579	2930
165	582	2927
166	585	2921
167	589	2920
168	592	2915
169	597	2919
170	600	2912
171	604	2911
172	608	2906
173	612	2908
174	615	2903
175	619	2898
176	622	2895
177	625	2890
178	630	2891
179	633	2884
180	637	2882
181	640	2877
182	643	2873
183	648	2875
184	652	2872
185	655	2868
186	658	2864
187	663	2864
188	666	2859
189	669	2855
190	673	2852
191	676	2847
192	680	2843
193	684	2843
194	687	2838
195	690	2833
196	693	2827
197	696	2822
198	701	2823
199	704	2819
200	708	2814
201	710	2808
202	714	2803
203	718	2805
204	721	2798
205	724	2794
206	727	2788
207	732	2788
208	735	2784
209	738	2779
210	741	2774
211	744	2769
212	750	2772
213	753	2768
214	756	2763
215	759	2757
216	764	2757
217	767	2753
218	770	2748
219	773	2743
220	776	2738
221	781	2738
222	784	2731
223	786	2726
224	790	2721
225	793	2715
226	797	2717
227	801	2713
228	804	2707
229	807	2701
230	809	2696
231	814	2696
232	893	2939
233	906	2967
234	917	2988
235	927	3001
236	932	3002
237	936	2998
238	948	3019
239	957	3033
240	963	3035
241	966	3028
242	970	3022
243	973	3016
244	976	3010
245	980	3005
246	983	2999
247	988	2996
248	991	2991
249	994	2984
250	998	2978
251	1001	2971
252	1005	2969
253	1009	2966
254	1014	2964
255	1017	2958
256	1022	2955
257	1026	2951
258	1030	2948
259	1035	2945
260	1041	2949
261	1046	2947
262	1051	2945
263	1056	2944
264	1059	2939
265	1063	2935
266	1071	2942
267	1078	2946
268	1085	2948
269	1088	2943
270	1093	2941
271	1099	2941
272	1102	2937
273	1107	2935
274	1112	2932
275	1118	2934
276	1122	2930
277	1126	2925
278	1131	2922
279	1135	2918
280	1140	2917
281	1143	2910
282	1147	2906
283	1152	2906
284	1157	2902
285	1161	2898
286	1166	2897
287	1170	2893
288	1174	2888
289	1177	2883
290	1182	2881
291	1185	2874
292	1189	2869
293	1191	2862
294	1196	2858
295	1199	2852
296	1202	2845
297	1205	2839
298	1208	2832
299	1212	2829
300	1215	2823
301	1218	2817
302	1221	2810
303	1224	2803
304	1229	2801
305	1232	2794
306	1235	2789
307	1238	2782
308	1241	2776
309	1245	2772
310	1248	2765
311	1252	2761
312	1255	2755
313	1258	2749
314	1262	2745
315	1265	2738
316	1268	2733
317	1271	2727
318	1274	2721
319	1279	2718
320	1283	2714
321	1287	2710
322	1292	2708
323	1296	2704
324	1299	2699
325	1303	2694
326	1306	2688
327	1311	2686
328	1316	2685
329	1320	2681
330	1324	2676
331	1329	2675
332	1334	2672
333	1337	2667
334	1342	2665
335	1345	2659
336	1349	2655
337	1353	2650
338	1358	2648
339	1360	2641
340	1364	2636
341	1367	2630
342	1371	2626
343	1375	2622
344	1378	2617
345	1382	2613
346	1386	2608
347	1389	2603
348	1392	2597
349	1395	2591
350	1398	2585
351	1401	2579
352	1404	2574
353	1407	2568
354	1410	2563
355	1413	2557
356	1416	2550
357	1419	2546
358	1422	2540
359	1425	2534
360	1428	2528
361	1431	2522
362	1434	2517
363	1437	2511
364	1441	2507
365	1443	2501
366	1446	2495
367	1451	2492
368	1454	2486
369	1457	2482
370	1461	2477
371	1464	2471
372	1467	2467
373	1470	2462
374	1475	2459
375	1479	2454
376	1485	2454
377	1489	2450
378	1495	2450
379	1499	2445
380	1502	2441
381	1507	2438
382	1511	2435
383	1515	2430
384	1518	2425
385	1521	2419
386	1524	2414
387	1527	2409
388	1532	2407
389	1535	2401
390	1538	2395
391	1540	2389
392	1543	2384
393	1548	2382
394	1552	2377
395	1555	2372
396	1558	2366
397	1562	2363
398	1565	2357
399	1568	2352
400	1570	2346
401	1573	2341
402	1577	2336
403	1580	2332
404	1584	2327
405	1587	2321
406	1589	2316
407	1594	2312
408	1597	2308
409	1600	2303
410	1603	2297
411	1606	2292
412	1609	2288
413	1613	2283
414	1616	2278
415	1619	2272
416	1621	2267
417	1625	2263
418	1629	2260
419	1633	2255
420	1636	2250
421	1639	2244
422	1643	2242
423	1646	2237
424	1650	2233
425	1653	2227
426	1656	2222
427	1661	2220
428	1664	2215
429	1667	2209
430	1669	2204
431	1673	2200
432	1677	2197
433	1681	2193
434	1684	2188
435	1687	2183
436	1692	2179
437	1694	2174
438	1697	2169
439	1700	2164
440	1703	2159
441	1708	2156
442	1712	2153
443	1716	2149
444	1719	2144
445	1724	2142
446	1728	2138
447	1732	2135
448	1736	2130
449	1742	2130
450	1746	2125
451	1750	2122
452	1755	2119
453	1760	2117
454	1764	2113
455	1775	2117
456	1778	2113
457	1787	2115
458	1791	2111
459	1801	2114
460	1808	2114
461	1811	2109
462	1817	2107
463	1820	2103
464	1824	2099
465	1827	2094
466	1832	2091
467	1835	2086
468	1838	2081
469	1841	2076
470	1844	2072
471	1847	2067
472	1850	2062
473	1853	2057
474	1856	2052
475	1859	2046
476	1862	2042
477	1865	2036
478	1868	2031
479	1872	2029
480	1876	2024
481	1879	2019
482	1882	2014
483	1885	2010
484	1888	2005
485	1891	2000
486	1894	1996
487	1897	1991
488	1901	1986
489	1905	1982
490	1908	1978
491	1912	1974
492	1915	1969
493	1919	1966
494	1922	1961
495	1927	1958
496	1930	1953
497	1934	1950
498	1937	1945
499	1942	1942
500	1945	1937
501	1948	1932
502	1951	1928
503	1955	1924
504	1959	1920
505	1962	1915
506	1966	1912
507	1969	1907
508	1974	1904
509	1977	1899
510	1980	1895
511	1984	1891
512	1987	1887
513	1991	1882
514	1994	1878
515	1997	1874
516	2000	1869
517	2004	1865
518	2007	1860
519	2011	1856
520	2014	1852
521	2018	1848
522	2022	1844
523	2025	1839
524	2028	1835
525	2031	1830
526	2035	1826
527	2037	1821
528	2040	1817
529	2043	1812
530	2046	1807
531	2049	1803
532	2053	1798
533	2056	1795
534	2059	1790
535	2062	1785
536	2065	1780
537	2068	1776
538	2071	1771
539	2074	1767
540	2077	1762
541	2080	1757
542	2082	1753
543	2086	1748
544	2088	1743
545	2091	1739
546	2094	1734
547	2096	1729
548	2099	1724
549	2102	1720
550	2105	1715
551	2107	1710
552	2110	1706
553	2113	1701
554	2116	1696
555	2119	1692
556	2122	1687
557	2124	1683
558	2127	1678
559	2130	1673
560	2133	1669
561	2136	1664
562	2139	1660
563	2141	1655
564	2144	1651
565	2148	1647
566	2151	1642
567	2154	1638
568	2156	1633
569	2159	1629
570	2162	1624
571	2165	1620
572	2168	1615
573	2171	1611
574	2174	1606
575	2176	1602
576	2179	1597
577	2182	1593
578	2185	1588
579	2188	1584
580	2190	1579
581	2193	1575
582	2195	1570
583	2198	1566
584	2201	1561
585	2203	1557
586	2206	1552
587	2209	1547
588	2211	1543
589	2214	1539
590	2217	1534
591	2220	1530
592	2222	1525
593	2225	1521
594	2228	1516
595	2231	1512
596	2233	1508
597	2236	1503
598	2239	1499
599	2242	1494
600	2245	1490
601	2248	1486
602	2251	1482
603	2254	1477
604	2256	1473
605	2260	1469
606	2263	1465
607	2266	1461
608	2269	1457
609	2272	1452
610	2275	1448
611	2278	1444
612	2280	1439
613	2283	1435
614	2286	1431
615	2289	1426
616	2292	1423
617	2295	1418
618	2298	1414
619	2301	1410
620	2303	1406
621	2307	1402
622	2309	1397
623	2312	1393
624	2315	1389
625	2318	1385
626	2321	1380
627	2325	1377
628	2328	1373
629	2332	1370
630	2336	1366
631	2340	1362
632	2344	1359
633	2347	1355
634	2350	1351
635	2354	1347
636	2357	1343
637	2361	1339
638	2364	1335
639	2367	1331
640	2371	1327
641	2374	1324
642	2378	1320
643	2381	1316
644	2385	1312
645	2388	1308
646	2392	1305
647	2395	1301
648	2399	1297
649	2402	1293
650	2406	1289
651	2410	1286
652	2416	1283
653	2420	1280
654	2425	1277
655	2429	1274
656	2433	1270
657	2437	1266
658	2441	1263
659	2444	1259
660	2447	1255
661	2450	1251
662	2454	1247
663	2460	1245
664	2467	1243
665	2472	1240
666	2478	1237
667	2483	1234
668	2488	1231
669	2491	1227
670	2495	1223
671	2500	1220
672	2505	1217
673	2509	1213
674	2513	1210
675	2518	1206
676	2523	1204
677	2528	1200
678	2532	1197
679	2537	1194
680	2541	1190
681	2546	1187
682	2550	1183
683	2556	1181
684	2561	1177
685	2565	1174
686	2569	1170
687	2572	1166
688	2576	1162
689	2579	1159
690	2583	1155
691	2587	1151
692	2591	1148
693	2595	1144
694	2600	1141
695	2605	1137
696	2609	1134
697	2613	1130
698	2617	1127
699	2621	1123
700	2625	1119
701	2628	1115
702	2632	1112
703	2636	1108
704	2639	1104
705	2643	1100
706	2647	1097
707	2652	1094
708	2657	1090
709	2662	1087
710	2667	1084
711	2673	1081
712	2678	1077
713	2682	1074
714	2686	1070
715	2691	1067
716	2696	1064
717	2703	1061
718	2709	1059
719	2713	1055
720	2718	1052
721	2723	1048
722	2727	1045
723	2733	1042
724	2737	1038
725	2742	1034
726	2750	1033
727	2757	1030
728	2763	1027
729	2768	1023
730	2772	1020
731	2777	1016
732	2783	1013
733	2787	1010
734	2791	1006
735	2795	1002
736	2800	999
737	2804	995
738	2810	992
739	2814	988
740	2818	985
741	2823	981
742	2827	978
743	2831	974
744	2834	970
745	2838	966
746	2842	962
747	2847	959
748	2851	955
749	2855	951
750	2859	947
751	2862	944
752	2867	940
753	2872	937
754	2875	933
